"","AAA","AA","A","BBB"
"","b/se","b/se","b/se","b/se"
"ATT","-0.0032","0.0572","-0.0631","-0.1152"
"","0.1114","0.0939","0.1081","0.2948"
"Observations","6897","6897","6897","6897"
