"","AAA","AA","A","BBB"
"","b/se","b/se","b/se","b/se"
"ATT","-0.0471","-0.0074","-0.0566","0.1543"
"","0.0792","0.0915","0.0851","0.1327"
"Observations","6897","6897","6897","6897"
