"","AAA","AA","A","BBB"
"","b/se","b/se","b/se","b/se"
"ATT","-0.0180","-0.0438","-0.0771","0.0389"
"","0.0864","0.0903","0.0642","0.0912"
"Observations","6897","6897","6897","6897"
