"","AAA","AA","A","BBB"
"","b/se","b/se","b/se","b/se"
"ATT","-0.0620","-0.0053","-0.1397","-0.1830"
"","0.1090","0.0947","0.1133","0.2891"
"Observations","6897","6897","6897","6897"
